Item ID:102613,Old QRId:19450,New QRId:19450
Item ID:102786,Old QRId:None,New QRId:19623
Item ID:102787,Old QRId:None,New QRId:19624
Item ID:102788,Old QRId:None,New QRId:19625
Item ID:102789,Old QRId:None,New QRId:19626
Item ID:102790,Old QRId:None,New QRId:19627
Item ID:102791,Old QRId:None,New QRId:19628
Item ID:102792,Old QRId:None,New QRId:19629
Item ID:102793,Old QRId:None,New QRId:19630
Item ID:102794,Old QRId:None,New QRId:19631
Item ID:102795,Old QRId:None,New QRId:19632
Item ID:102796,Old QRId:None,New QRId:19633
Item ID:102797,Old QRId:None,New QRId:19634
Item ID:102798,Old QRId:None,New QRId:19635
Item ID:102799,Old QRId:None,New QRId:19636
Item ID:102800,Old QRId:None,New QRId:19637
Item ID:102801,Old QRId:None,New QRId:19638
Item ID:102802,Old QRId:None,New QRId:19639
Item ID:102803,Old QRId:None,New QRId:19640
Item ID:102804,Old QRId:None,New QRId:19641
Item ID:102805,Old QRId:None,New QRId:19642
Item ID:102806,Old QRId:None,New QRId:19643
Item ID:102807,Old QRId:None,New QRId:19644
Item ID:102808,Old QRId:None,New QRId:19645
Item ID:102809,Old QRId:None,New QRId:19646
Item ID:102810,Old QRId:None,New QRId:19647
Item ID:102811,Old QRId:None,New QRId:19648
Item ID:102812,Old QRId:None,New QRId:19649
Item ID:102813,Old QRId:None,New QRId:19650
Item ID:102814,Old QRId:None,New QRId:19651
Item ID:102815,Old QRId:None,New QRId:19652
Item ID:102816,Old QRId:None,New QRId:19653
Item ID:102817,Old QRId:None,New QRId:19654
Item ID:102818,Old QRId:None,New QRId:19655
Item ID:102819,Old QRId:None,New QRId:19656
Item ID:102820,Old QRId:None,New QRId:19657
Item ID:102821,Old QRId:None,New QRId:19658
Item ID:102822,Old QRId:None,New QRId:19659
Item ID:102823,Old QRId:None,New QRId:19660
Item ID:102824,Old QRId:None,New QRId:19661
Item ID:102825,Old QRId:None,New QRId:19662
Item ID:102826,Old QRId:None,New QRId:19663
Item ID:102827,Old QRId:None,New QRId:19664
Item ID:102828,Old QRId:None,New QRId:19665
Item ID:102829,Old QRId:None,New QRId:19666
Item ID:102830,Old QRId:None,New QRId:19667
Item ID:102831,Old QRId:None,New QRId:19668
Item ID:102832,Old QRId:None,New QRId:19669
Item ID:102833,Old QRId:None,New QRId:19670
Item ID:102834,Old QRId:None,New QRId:19671
Item ID:102835,Old QRId:None,New QRId:19672
Item ID:102836,Old QRId:None,New QRId:19673
Item ID:102837,Old QRId:None,New QRId:19674
Item ID:102838,Old QRId:None,New QRId:19675
Item ID:102839,Old QRId:None,New QRId:19676
Item ID:102840,Old QRId:None,New QRId:19677
Item ID:102841,Old QRId:None,New QRId:19678
Item ID:102842,Old QRId:None,New QRId:19679
Item ID:102843,Old QRId:None,New QRId:19680
Item ID:102844,Old QRId:None,New QRId:19681
Item ID:102845,Old QRId:None,New QRId:19682
Item ID:102846,Old QRId:None,New QRId:19683
Item ID:102847,Old QRId:None,New QRId:19684
Item ID:102848,Old QRId:None,New QRId:19685
Item ID:102849,Old QRId:None,New QRId:19686
Item ID:102850,Old QRId:None,New QRId:19687
Item ID:102851,Old QRId:None,New QRId:19688
Item ID:102852,Old QRId:None,New QRId:19689
Item ID:102853,Old QRId:None,New QRId:19690
Item ID:102854,Old QRId:None,New QRId:19691
Item ID:102855,Old QRId:None,New QRId:19692
Item ID:102856,Old QRId:None,New QRId:19693
Item ID:102857,Old QRId:None,New QRId:19694
Item ID:102858,Old QRId:None,New QRId:19695
Item ID:102859,Old QRId:None,New QRId:19696
Item ID:102860,Old QRId:None,New QRId:19697
Item ID:102861,Old QRId:None,New QRId:19698
Item ID:102862,Old QRId:None,New QRId:19699
Item ID:102863,Old QRId:None,New QRId:19700
Item ID:102864,Old QRId:None,New QRId:19701
Item ID:102865,Old QRId:None,New QRId:19702
Item ID:102866,Old QRId:None,New QRId:19703
Item ID:102867,Old QRId:None,New QRId:19704
Item ID:102868,Old QRId:None,New QRId:19705
Item ID:102869,Old QRId:None,New QRId:19706
Item ID:102870,Old QRId:None,New QRId:19707
Item ID:102871,Old QRId:None,New QRId:19708
Item ID:102872,Old QRId:None,New QRId:19709
Item ID:102873,Old QRId:None,New QRId:19710
Item ID:102874,Old QRId:None,New QRId:19711
Item ID:102875,Old QRId:None,New QRId:19712
Item ID:102876,Old QRId:None,New QRId:19713
Item ID:102877,Old QRId:None,New QRId:19714
Item ID:102878,Old QRId:None,New QRId:19715
Item ID:102879,Old QRId:None,New QRId:19716
Item ID:102880,Old QRId:None,New QRId:19717
Item ID:102881,Old QRId:None,New QRId:19718
Item ID:102882,Old QRId:None,New QRId:19719
Item ID:102883,Old QRId:None,New QRId:19720
Item ID:102884,Old QRId:None,New QRId:19721
Item ID:102885,Old QRId:None,New QRId:19722
Item ID:102886,Old QRId:None,New QRId:19723
Item ID:102887,Old QRId:None,New QRId:19724
Item ID:102888,Old QRId:None,New QRId:19725
Item ID:102889,Old QRId:None,New QRId:19726
Item ID:102890,Old QRId:None,New QRId:19727
Item ID:102891,Old QRId:None,New QRId:19728
Item ID:102892,Old QRId:None,New QRId:19729
Item ID:102893,Old QRId:None,New QRId:19730
Item ID:102894,Old QRId:None,New QRId:19731
Item ID:102895,Old QRId:None,New QRId:19732
Item ID:102896,Old QRId:None,New QRId:19733
Item ID:102897,Old QRId:None,New QRId:19734
Item ID:102898,Old QRId:None,New QRId:19735
Item ID:102899,Old QRId:None,New QRId:19736
Item ID:102900,Old QRId:None,New QRId:19737
Item ID:102901,Old QRId:None,New QRId:19738
Item ID:102902,Old QRId:None,New QRId:19739
Item ID:102903,Old QRId:None,New QRId:19740
Item ID:102904,Old QRId:None,New QRId:19741
Item ID:102905,Old QRId:None,New QRId:19742
Item ID:102906,Old QRId:None,New QRId:19743
Item ID:102907,Old QRId:None,New QRId:19744
Item ID:102908,Old QRId:None,New QRId:19745
Item ID:102909,Old QRId:None,New QRId:19746
Item ID:102910,Old QRId:None,New QRId:19747
Item ID:102911,Old QRId:None,New QRId:19748
Item ID:102912,Old QRId:None,New QRId:19749
Item ID:102913,Old QRId:None,New QRId:19750
Item ID:102914,Old QRId:None,New QRId:19751
Item ID:103060,Old QRId:None,New QRId:19752
Item ID:103061,Old QRId:None,New QRId:19753
Item ID:103062,Old QRId:None,New QRId:19754
Item ID:103063,Old QRId:None,New QRId:19755
Item ID:103064,Old QRId:None,New QRId:19756
Item ID:103065,Old QRId:None,New QRId:19757
Item ID:103066,Old QRId:None,New QRId:19758
Item ID:103067,Old QRId:None,New QRId:19759
Item ID:103068,Old QRId:None,New QRId:19760
Item ID:103069,Old QRId:None,New QRId:19761
Item ID:103070,Old QRId:None,New QRId:19762
Item ID:103071,Old QRId:None,New QRId:19763
Item ID:103072,Old QRId:None,New QRId:19764
Item ID:103073,Old QRId:None,New QRId:19765
Item ID:103074,Old QRId:None,New QRId:19766
Item ID:103075,Old QRId:None,New QRId:19767
Item ID:103076,Old QRId:None,New QRId:19768
Item ID:103077,Old QRId:None,New QRId:19769
Item ID:103078,Old QRId:None,New QRId:19770
Item ID:103079,Old QRId:None,New QRId:19771
Item ID:103080,Old QRId:None,New QRId:19772
Item ID:103081,Old QRId:None,New QRId:19773
Item ID:103082,Old QRId:None,New QRId:19774
Item ID:103083,Old QRId:None,New QRId:19775
Item ID:103084,Old QRId:None,New QRId:19776
Item ID:103085,Old QRId:None,New QRId:19777
Item ID:103086,Old QRId:None,New QRId:19778
Item ID:103087,Old QRId:None,New QRId:19779
Item ID:103088,Old QRId:None,New QRId:19780
Item ID:103089,Old QRId:None,New QRId:19781
Item ID:103090,Old QRId:None,New QRId:19782
Item ID:103091,Old QRId:None,New QRId:19783
Item ID:103092,Old QRId:None,New QRId:19784
Item ID:103093,Old QRId:None,New QRId:19785
Item ID:103094,Old QRId:None,New QRId:19786
Item ID:103095,Old QRId:None,New QRId:19787
Item ID:103096,Old QRId:None,New QRId:19788
Item ID:103097,Old QRId:None,New QRId:19789
Item ID:103098,Old QRId:None,New QRId:19790
Item ID:103099,Old QRId:None,New QRId:19791
Item ID:103100,Old QRId:None,New QRId:19792
Item ID:103101,Old QRId:None,New QRId:19793
Item ID:103102,Old QRId:None,New QRId:19794
Item ID:103103,Old QRId:None,New QRId:19795
Item ID:103104,Old QRId:None,New QRId:19796
Item ID:103105,Old QRId:None,New QRId:19797
Item ID:103106,Old QRId:None,New QRId:19798
Item ID:103107,Old QRId:None,New QRId:19799
Item ID:103108,Old QRId:None,New QRId:19800
Item ID:103109,Old QRId:None,New QRId:19801
Item ID:103110,Old QRId:None,New QRId:19802
Item ID:103111,Old QRId:None,New QRId:19803
Item ID:103112,Old QRId:None,New QRId:19804
Item ID:103113,Old QRId:None,New QRId:19805
Item ID:103114,Old QRId:None,New QRId:19806
Item ID:103115,Old QRId:None,New QRId:19807
Item ID:103116,Old QRId:None,New QRId:19808
Item ID:103117,Old QRId:None,New QRId:19809
Item ID:103118,Old QRId:None,New QRId:19810
Item ID:103119,Old QRId:None,New QRId:19811
Item ID:103120,Old QRId:None,New QRId:19812
Item ID:103121,Old QRId:None,New QRId:19813
Item ID:103122,Old QRId:None,New QRId:19814
Item ID:103123,Old QRId:None,New QRId:19815
Item ID:103124,Old QRId:None,New QRId:19816
Item ID:103125,Old QRId:None,New QRId:19817
Item ID:103126,Old QRId:None,New QRId:19818
Item ID:103127,Old QRId:None,New QRId:19819
Item ID:103128,Old QRId:None,New QRId:19820
Item ID:103129,Old QRId:None,New QRId:19821
Item ID:103130,Old QRId:None,New QRId:19822
Item ID:103131,Old QRId:None,New QRId:19823
Item ID:103132,Old QRId:None,New QRId:19824
Item ID:103133,Old QRId:None,New QRId:19825
Item ID:103134,Old QRId:None,New QRId:19826
Item ID:103135,Old QRId:None,New QRId:19827
Item ID:103136,Old QRId:None,New QRId:19828
Item ID:103137,Old QRId:None,New QRId:19829
Item ID:103138,Old QRId:None,New QRId:19830
Item ID:103139,Old QRId:None,New QRId:19831
Item ID:103140,Old QRId:None,New QRId:19832
Item ID:103141,Old QRId:None,New QRId:19833
Item ID:103289,Old QRId:None,New QRId:19834
Item ID:103290,Old QRId:None,New QRId:19835
Item ID:103291,Old QRId:None,New QRId:19836
Item ID:103292,Old QRId:None,New QRId:19837
Item ID:103293,Old QRId:None,New QRId:19838
Item ID:103294,Old QRId:None,New QRId:19839
Item ID:103295,Old QRId:None,New QRId:19840
Item ID:103296,Old QRId:None,New QRId:19841
Item ID:103297,Old QRId:None,New QRId:19842
Item ID:103298,Old QRId:None,New QRId:19843
Item ID:103299,Old QRId:None,New QRId:19844
Item ID:103300,Old QRId:None,New QRId:19845
Item ID:103301,Old QRId:None,New QRId:19846
Item ID:103302,Old QRId:None,New QRId:19847
Item ID:103303,Old QRId:None,New QRId:19848
Item ID:103304,Old QRId:None,New QRId:19849
Item ID:103305,Old QRId:None,New QRId:19850
Item ID:103306,Old QRId:None,New QRId:19851
Item ID:103307,Old QRId:None,New QRId:19852
Item ID:103308,Old QRId:None,New QRId:19853
Item ID:103309,Old QRId:None,New QRId:19854
Item ID:103310,Old QRId:None,New QRId:19855
Item ID:103311,Old QRId:None,New QRId:19856
Item ID:103312,Old QRId:None,New QRId:19857
Item ID:103313,Old QRId:None,New QRId:19858
Item ID:103314,Old QRId:None,New QRId:19859
Item ID:103315,Old QRId:None,New QRId:19860
Item ID:103316,Old QRId:None,New QRId:19861
Item ID:103317,Old QRId:None,New QRId:19862
Item ID:103318,Old QRId:None,New QRId:19863
Item ID:103319,Old QRId:None,New QRId:19864
Item ID:103320,Old QRId:None,New QRId:19865
Item ID:103321,Old QRId:None,New QRId:19866
Item ID:103322,Old QRId:None,New QRId:19867
Item ID:103323,Old QRId:None,New QRId:19868
Item ID:103324,Old QRId:None,New QRId:19869
Item ID:103325,Old QRId:None,New QRId:19870
Item ID:103326,Old QRId:None,New QRId:19871
Item ID:103327,Old QRId:None,New QRId:19872
Item ID:103328,Old QRId:None,New QRId:19873
Item ID:103329,Old QRId:None,New QRId:19874
Item ID:103330,Old QRId:None,New QRId:19875
Item ID:103331,Old QRId:None,New QRId:19876
Item ID:103332,Old QRId:None,New QRId:19877
Item ID:103333,Old QRId:None,New QRId:19878
Item ID:103334,Old QRId:None,New QRId:19879
Item ID:103335,Old QRId:None,New QRId:19880
Item ID:103336,Old QRId:None,New QRId:19881
Item ID:103337,Old QRId:None,New QRId:19882
Item ID:103338,Old QRId:None,New QRId:19883
Item ID:103339,Old QRId:None,New QRId:19884
Item ID:103340,Old QRId:None,New QRId:19885
Item ID:103341,Old QRId:None,New QRId:19886
Item ID:103342,Old QRId:None,New QRId:19887
Item ID:103343,Old QRId:None,New QRId:19888
Item ID:103344,Old QRId:None,New QRId:19889
Item ID:103345,Old QRId:None,New QRId:19890
Item ID:103346,Old QRId:None,New QRId:19891
Item ID:103347,Old QRId:None,New QRId:19892
Item ID:103348,Old QRId:None,New QRId:19893
Item ID:103349,Old QRId:None,New QRId:19894
Item ID:103350,Old QRId:None,New QRId:19895
Item ID:103351,Old QRId:None,New QRId:19896
Item ID:103352,Old QRId:None,New QRId:19897
Item ID:103353,Old QRId:None,New QRId:19898
Item ID:103354,Old QRId:None,New QRId:19899
Item ID:103355,Old QRId:None,New QRId:19900
Item ID:103356,Old QRId:None,New QRId:19901
Item ID:103357,Old QRId:None,New QRId:19902
Item ID:103358,Old QRId:None,New QRId:19903
Item ID:103359,Old QRId:None,New QRId:19904
Item ID:103360,Old QRId:None,New QRId:19905
Item ID:103361,Old QRId:None,New QRId:19906
Item ID:103362,Old QRId:None,New QRId:19907
Item ID:103363,Old QRId:None,New QRId:19908
Item ID:103364,Old QRId:None,New QRId:19909
Item ID:103365,Old QRId:None,New QRId:19910
Item ID:103366,Old QRId:None,New QRId:19911
Item ID:103367,Old QRId:None,New QRId:19912
Item ID:103368,Old QRId:None,New QRId:19913
Item ID:103369,Old QRId:None,New QRId:19914
Item ID:103370,Old QRId:None,New QRId:19915
Item ID:103371,Old QRId:None,New QRId:19916
Item ID:103372,Old QRId:None,New QRId:19917
Item ID:103373,Old QRId:None,New QRId:19918
Item ID:103374,Old QRId:None,New QRId:19919
Item ID:103375,Old QRId:None,New QRId:19920
Item ID:103376,Old QRId:None,New QRId:19921
Item ID:103377,Old QRId:None,New QRId:19922
Item ID:103378,Old QRId:None,New QRId:19923
Item ID:103379,Old QRId:None,New QRId:19924
Item ID:103380,Old QRId:None,New QRId:19925
Item ID:103381,Old QRId:None,New QRId:19926
Item ID:103382,Old QRId:None,New QRId:19927
Item ID:103383,Old QRId:None,New QRId:19928
Item ID:103384,Old QRId:None,New QRId:19929
Item ID:103385,Old QRId:None,New QRId:19930
Item ID:103386,Old QRId:None,New QRId:19931
Item ID:103387,Old QRId:None,New QRId:19932
Item ID:103388,Old QRId:None,New QRId:19933
Item ID:103389,Old QRId:None,New QRId:19934
Item ID:103390,Old QRId:None,New QRId:19935
Item ID:103391,Old QRId:None,New QRId:19936
Item ID:103392,Old QRId:None,New QRId:19937
Item ID:103393,Old QRId:None,New QRId:19938
Item ID:103394,Old QRId:None,New QRId:19939
Item ID:103395,Old QRId:None,New QRId:19940
Item ID:103396,Old QRId:None,New QRId:19941
Item ID:103397,Old QRId:None,New QRId:19942
Item ID:103398,Old QRId:None,New QRId:19943
Item ID:103399,Old QRId:None,New QRId:19944
Item ID:103400,Old QRId:None,New QRId:19945
Item ID:103401,Old QRId:None,New QRId:19946
Item ID:103402,Old QRId:None,New QRId:19947
Item ID:103403,Old QRId:None,New QRId:19948
Item ID:103404,Old QRId:None,New QRId:19949
Item ID:103405,Old QRId:None,New QRId:19950
Item ID:103406,Old QRId:None,New QRId:19951
Item ID:103407,Old QRId:None,New QRId:19952
Item ID:103408,Old QRId:None,New QRId:19953
Item ID:103409,Old QRId:None,New QRId:19954
Item ID:103410,Old QRId:None,New QRId:19955
Item ID:103411,Old QRId:None,New QRId:19956
Item ID:103412,Old QRId:None,New QRId:19957
Item ID:103413,Old QRId:None,New QRId:19958
Item ID:103414,Old QRId:None,New QRId:19959
Item ID:103415,Old QRId:None,New QRId:19960
Item ID:103416,Old QRId:None,New QRId:19961
Item ID:103417,Old QRId:None,New QRId:19962
Item ID:103418,Old QRId:None,New QRId:19963
Item ID:103419,Old QRId:None,New QRId:19964
Item ID:103420,Old QRId:None,New QRId:19965
Item ID:103421,Old QRId:None,New QRId:19966
Item ID:103422,Old QRId:None,New QRId:19967
Item ID:103423,Old QRId:None,New QRId:19968
Item ID:103424,Old QRId:None,New QRId:19969
Item ID:103425,Old QRId:None,New QRId:19970
Item ID:103426,Old QRId:None,New QRId:19971
Item ID:103427,Old QRId:None,New QRId:19972
Item ID:103428,Old QRId:None,New QRId:19973
Item ID:103429,Old QRId:None,New QRId:19974
Item ID:103430,Old QRId:None,New QRId:19975
Item ID:103431,Old QRId:None,New QRId:19976
Item ID:103432,Old QRId:None,New QRId:19977
Item ID:103433,Old QRId:None,New QRId:19978
Item ID:103434,Old QRId:None,New QRId:19979
Item ID:103435,Old QRId:None,New QRId:19980
Item ID:103436,Old QRId:None,New QRId:19981
Item ID:103437,Old QRId:None,New QRId:19982
Item ID:103438,Old QRId:None,New QRId:19983
Item ID:103439,Old QRId:None,New QRId:19984
Item ID:103440,Old QRId:None,New QRId:19985
Item ID:103441,Old QRId:None,New QRId:19986
Item ID:103442,Old QRId:None,New QRId:19987
Item ID:103443,Old QRId:None,New QRId:19988
Item ID:103444,Old QRId:None,New QRId:19989
Item ID:103445,Old QRId:None,New QRId:19990
Item ID:103446,Old QRId:None,New QRId:19991
Item ID:103447,Old QRId:None,New QRId:19992
Item ID:103448,Old QRId:None,New QRId:19993
Item ID:103449,Old QRId:None,New QRId:19994
Item ID:103450,Old QRId:None,New QRId:19995
Item ID:103451,Old QRId:None,New QRId:19996
Item ID:103452,Old QRId:None,New QRId:19997
Item ID:103453,Old QRId:None,New QRId:19998
Item ID:103454,Old QRId:None,New QRId:19999
Item ID:103455,Old QRId:None,New QRId:20000
Item ID:103456,Old QRId:None,New QRId:20001
Item ID:103457,Old QRId:None,New QRId:20002
Item ID:103458,Old QRId:None,New QRId:20003
Item ID:103459,Old QRId:None,New QRId:20004
Item ID:103460,Old QRId:None,New QRId:20005
Item ID:103461,Old QRId:None,New QRId:20006
Item ID:103462,Old QRId:None,New QRId:20007
Item ID:103463,Old QRId:None,New QRId:20008
Item ID:103464,Old QRId:None,New QRId:20009
Item ID:103465,Old QRId:None,New QRId:20010
Item ID:103466,Old QRId:None,New QRId:20011
Item ID:103467,Old QRId:None,New QRId:20012
Item ID:103468,Old QRId:None,New QRId:20013
Item ID:103469,Old QRId:None,New QRId:20014
Item ID:103470,Old QRId:None,New QRId:20015
Item ID:103471,Old QRId:None,New QRId:20016
Item ID:103472,Old QRId:None,New QRId:20017
Item ID:103473,Old QRId:None,New QRId:20018
Item ID:103474,Old QRId:None,New QRId:20019
Item ID:103475,Old QRId:None,New QRId:20020
Item ID:103476,Old QRId:None,New QRId:20021
Item ID:103477,Old QRId:None,New QRId:20022
Item ID:103478,Old QRId:None,New QRId:20023
Item ID:103479,Old QRId:None,New QRId:20024
Item ID:103480,Old QRId:None,New QRId:20025
Item ID:103481,Old QRId:None,New QRId:20026
Item ID:103482,Old QRId:None,New QRId:20027
Item ID:103483,Old QRId:None,New QRId:20028
Item ID:103484,Old QRId:None,New QRId:20029
Item ID:103485,Old QRId:None,New QRId:20030
Item ID:103486,Old QRId:None,New QRId:20031
